owner_id,name,screen_name,members_count,is_gov,posts,likes_declared,comments_declared,views,likes_total,likes_from_subs,unique_likers,unique_sub_likers,comments_total,comments_from_subs,unique_commenters,size_bucket,segment,avg_likes_per_post,share_likes_from_subs,sub_like_reach
-218170073,ЭКОЛОГИ АкрамоВО,club218170073,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-154940659,"Первые | МБОУ 'Акрамовская ООШ'"" | Чувашия""",club154940659,357,0,59.0,377.0,19.0,11624.0,873.0,764.0,114.0,74.0,53.0,41.0,28.0,100–1K,Обычные,14.796610169491526,0.8751431844215349,0.20728291316526612
-231878603,Аврора. Магазин машинной вышивки.,aurora_nchb,15,0,22.0,6.0,0.0,197.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,<100,Обычные,0.2727272727272727,0.3333333333333333,0.06666666666666667
-33279926,"Фитнес-центр 'Шоколад'"" Новочебоксарск""",chocolate365326,680,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-155905912,Автосервис CarService Новочебоксарск,nhek2015,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-88757070,Молодая Гвардия | Новочебоксарск,club88757070,155,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-75920118,Шугаринг в Новочебоксарске,club75920118,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-191509896,Диско - Кафе г.Новочебоксарск,disko_cafe,167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-192233828,Доставка цветов Новочебоксарск цветы букеты,club192233828,30,0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,0.0,,0.0
-160744298,"МБОУ 'Кугесьский лицей'""""",kuglicey,3021,0,624.0,9945.0,160.0,780026.0,13660.0,12468.0,1678.0,989.0,179.0,164.0,93.0,1K–5K,Обычные,21.891025641025642,0.9127379209370424,0.3273750413770275
-65519409,"Подслушано 'Аксарино'""""",axarino21,82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-14356244,АКСАРИНСКОЕ ЗЕМЛЯЧЕСТВО,club14356244,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-52674298,АКУЛЕВО. ЦЕРКОВЬ УСПЕНИЯ ПРЕСВЯТОЙ БОГОРОДИЦЫ,akulevo_hram,2092,0,85.0,2252.0,377.0,51783.0,3752.0,3724.0,502.0,480.0,476.0,466.0,158.0,1K–5K,Обычные,44.141176470588235,0.9925373134328358,0.2294455066921606
-137813742,Алатырь,alatyr700,27982,0,7343.0,76576.0,7059.0,24971606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20K–100K,Обычные,0.0,,0.0
-12096197,Мисс 17 школа (г.Новочебоксарск),miss17n4k,107,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-137860080,Профессиональное караоке в Новочебоксарске,karaokerosha,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-86067515,Прически | Новочебоксарск Чебоксары,club86067515,342,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-106980897,Торты на заказ новочебоксарск чебоксары,tortikin4k,889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-227420899,ПЕРМАНЕНТНЫЙ МАКИЯЖ НОВОЧЕБОКСАРСК | ЧЕБОКСАРЫ,pm_isaeva,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-127160326,"Советская 59а, г.Новочебоксарск",club127160326,103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-168469458,Мы соседи | Новое приложение | Новочебоксарск,club168469458,17,0,5.0,10.0,0.0,49.0,10.0,10.0,2.0,2.0,0.0,0.0,0.0,<100,Обычные,2.0,1.0,0.11764705882352941
-161412238,Фаберлик Новочебоксарск,club161412238,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-135828008,Химчистка мягкой мебели Новочебоксарск,himchistka_novocheboksarsk,2098,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1K–5K,Обычные,,,0.0
-173951315,Самогонный аппарат Чебоксары Новочебоксарск,vinokurnya21,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-88450269,Федерация футбола г. Новочебоксарск,club88450269,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-20746107,"Художественный музей, г.Новочебоксарск, б-р Гидростроителей, 4",club20746107,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-172448598,Фотограф Капитонова Ольга,fotokapitoshka,355,0,3.0,32.0,0.0,758.0,32.0,20.0,25.0,13.0,0.0,0.0,0.0,100–1K,Обычные,10.666666666666666,0.625,0.036619718309859155
-203507995,"МБДОУ 'Детский сад №5 '""Цветик-семицветик'""""",club203507995,228,0,293.0,1692.0,5.0,52977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,0.0,,0.0
