name,members_count,segment,posts,likes_total,avg_likes_per_post,share_likes_from_subs,sub_like_reach
Администрация Алатырского муниципального округа,8054,Обычные,1673.0,92953.0,55.56066945606695,0.9612384753585145,0.4144524459895704
"МБУ 'ЦБС'""  Чебоксарского муниципального округа""",1801,Обычные,1734.0,64733.0,37.331603229527104,0.9960607418163843,0.1116046640755136
Подслушано  Алатырь,40660,Обычные,2044.0,61414.0,30.045988258317024,0.9420978929885694,0.21859321200196755
СМИ г. Алатырь,16687,Обычные,4734.0,54042.0,11.415716096324461,0.0,0.0
"РАБОТА ВАХТА (Чувашия, Чебоксары)",5248,Обычные,3453.0,49992.0,14.477845351867941,0.0,0.0
Мир книжной змейки,9268,Обычные,254.0,49037.0,193.05905511811022,0.8459326630911352,0.22194648252050064
Вакансии в Чувашии,12491,Обычные,3479.0,44504.0,12.792181661396953,0.0,0.0
АЛАТЫРСКИЙ ТЕХНОЛОГИЧЕСКИЙ КОЛЛЕДЖ,3890,Обычные,835.0,39070.0,46.790419161676645,0.958075249552086,0.22904884318766067
Алатырь КОШКИ / СОБАКИ потеряшки помощь,2636,Обычные,692.0,37710.0,54.494219653179194,0.9390082206311323,0.30386949924127465
"БУ 'Алатырский КЦСОН'""""",1834,Обычные,335.0,33738.0,100.71044776119403,0.9578813207659019,0.37404580152671757
Газета «Алатырские вести»,7792,Обычные,549.0,29283.0,53.33879781420765,0.8797254379674214,0.3964322381930185
ВСЁ НЕНУЖНОЕ МИМО...ВСЁ ЧУДЕСНОЕ В ДУШУ...(откры,994,Обычные,3311.0,27273.0,8.237088492902446,0.991420085799142,0.07545271629778671
"МБОУ 'СОШ №9'"" Алатырского МО ЧР""",1762,Обычные,773.0,27047.0,34.98965071151358,0.9661330276925352,0.41486946651532347
Администрация Красночетайского округа,3987,Обычные,805.0,25149.0,31.240993788819875,0.9058014235158456,0.4326561324303988
Хочу в Чувашию,15201,Обычные,422.0,24517.0,58.09715639810427,0.7259044744463026,0.16031840010525622
